Number,Name,Type_1,Type_2,HP,Attack,Defense,Speed,Generation,Pr_Male,Height_and_Weight_stats,Body_Style,isLegendary,Black,Blue,Brown,Green,Grey,Pink,Purple,Red,White,Yellow,Special_Move,Special_Move_Power
14,Kakuna,Bug,Poison,45,25,50,35,1,0.5,0.61:10,serpentine_body,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,Special_Attack,25
14,,Bug,Poison,45,25,50,35,1,0.5,0.61:10,serpentine_body,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,Special_Defense,25
15,Beedrill,Bug,Poison,65,90,40,75,1,0.5,0.99:29.5,four_wings,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Attack,45
15,,Bug,Poison,65,90,40,75,1,0.5,0.99:29.5,four_wings,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Defense,80
16,Pidgey,Normal,Flying,40,45,40,56,1,0.5,0.3:1.8,two_wings,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Attack,35
16,,Normal,Flying,40,45,40,56,1,0.5,0.3:1.8,two_wings,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Defense,35
17,Pidgeotto,Normal,Flying,63,60,55,71,1,0.5,1.09:30,two_wings,FALSE,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,Special_Attack,50
17,,Normal,Flying,63,60,55,71,1,0.5,1.09:30,two_wings,FALSE,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,Special_Defense,50
18,Pidgeot,Normal,Flying,83,80,75,101,1,0.5,1.5:39.5,two_wings,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Attack,70
18,,Normal,Flying,83,80,75,101,1,0.5,1.5:39.5,two_wings,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Defense,70
19,Rattata,Normal,NA,30,56,35,72,1,0.5,0.3:3.5,quadruped,FALSE,NA,NA,NA,NA,NA,NA,255,NA,NA,NA,Special_Attack,25
19,,Normal,NA,30,56,35,72,1,0.5,0.3:3.5,quadruped,FALSE,NA,NA,NA,NA,NA,NA,255,NA,NA,NA,Special_Defense,35
20,Raticate,Normal,NA,55,81,60,97,1,0.5,0.71:18.5,quadruped,FALSE,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,Special_Attack,50
20,,Normal,NA,55,81,60,97,1,0.5,0.71:18.5,quadruped,FALSE,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,Special_Defense,70
21,Spearow,Normal,Flying,40,60,30,70,1,0.5,0.3:2,two_wings,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Attack,31
21,,Normal,Flying,40,60,30,70,1,0.5,0.3:2,two_wings,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Defense,31
22,Fearow,Normal,Flying,65,90,65,100,1,0.5,1.19:38,two_wings,FALSE,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,Special_Attack,61
22,,Normal,Flying,65,90,65,100,1,0.5,1.19:38,two_wings,FALSE,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,Special_Defense,61
23,Ekans,Poison,NA,35,60,44,55,1,0.5,2.01:6.9,serpentine_body,FALSE,NA,NA,NA,NA,NA,NA,255,NA,NA,NA,Special_Attack,40
23,,Poison,NA,35,60,44,55,1,0.5,2.01:6.9,serpentine_body,FALSE,NA,NA,NA,NA,NA,NA,255,NA,NA,NA,Special_Defense,54
24,Arbok,Poison,NA,60,85,69,80,1,0.5,3.51:65,serpentine_body,FALSE,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,Special_Attack,65
24,,Poison,NA,60,85,69,80,1,0.5,3.51:65,serpentine_body,FALSE,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,Special_Defense,79
25,Pikachu,Electric,NA,35,55,40,90,1,0.5,0.41:6,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,Special_Attack,50
25,,Electric,NA,35,55,40,90,1,0.5,0.41:6,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,Special_Defense,50
26,Raichu,Electric,NA,60,90,55,110,1,0.5,0.79:30,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,Special_Attack,90
26,,Electric,NA,60,90,55,110,1,0.5,0.79:30,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,Special_Defense,80
27,Sandshrew,Ground,NA,50,75,85,40,1,0.5,0.61:12,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,Special_Attack,20
27,,Ground,NA,50,75,85,40,1,0.5,0.61:12,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,Special_Defense,30
28,Sandslash,Ground,NA,75,100,110,65,1,0.5,0.99:29.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,Special_Attack,45
28,,Ground,NA,75,100,110,65,1,0.5,0.99:29.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,Special_Defense,55
29,Nidoran_female,Poison,NA,55,47,52,41,1,0,0.41:7,quadruped,FALSE,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,40
29,,Poison,NA,55,47,52,41,1,0,0.41:7,quadruped,FALSE,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,40
30,Nidorina,Poison,NA,70,62,67,56,1,0,0.79:20,quadruped,FALSE,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,55
30,,Poison,NA,70,62,67,56,1,0,0.79:20,quadruped,FALSE,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,55
31,Nidoqueen,Poison,Ground,90,92,87,76,1,0,1.3:60,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,75
31,,Poison,Ground,90,92,87,76,1,0,1.3:60,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,85
32,Nidoran_male,Poison,NA,46,57,40,50,1,1,0.51:9,quadruped,FALSE,NA,NA,NA,NA,NA,NA,235,NA,NA,NA,Special_Attack,40
32,,Poison,NA,46,57,40,50,1,1,0.51:9,quadruped,FALSE,NA,NA,NA,NA,NA,NA,235,NA,NA,NA,Special_Defense,40
33,Nidorino,Poison,NA,61,72,57,65,1,1,0.89:19.5,quadruped,FALSE,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,Special_Attack,55
33,,Poison,NA,61,72,57,65,1,1,0.89:19.5,quadruped,FALSE,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,Special_Defense,55
34,Nidoking,Poison,Ground,81,102,77,85,1,1,1.4:62,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,Special_Attack,85
34,,Poison,Ground,81,102,77,85,1,1,1.4:62,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,Special_Defense,75
35,Clefairy,Fairy,NA,70,45,48,35,1,0.25,0.61:7.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,Special_Attack,60
35,,Fairy,NA,70,45,48,35,1,0.25,0.61:7.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,Special_Defense,65
36,Clefable,Fairy,NA,95,70,73,60,1,0.25,1.3:40,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,Special_Attack,95
36,,Fairy,NA,95,70,73,60,1,0.25,1.3:40,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,Special_Defense,90
37,Vulpix,Fire,NA,38,41,40,65,1,0.25,0.61:9.9,quadruped,FALSE,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,Special_Attack,50
37,,Fire,NA,38,41,40,65,1,0.25,0.61:9.9,quadruped,FALSE,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,Special_Defense,65
38,Ninetales,Fire,NA,73,76,75,100,1,0.25,1.09:19.9,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,Special_Attack,81
38,,Fire,NA,73,76,75,100,1,0.25,1.09:19.9,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,Special_Defense,100
39,Jigglypuff,Normal,Fairy,115,45,20,20,1,0.25,0.51:5.5,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,Special_Attack,45
39,,Normal,Fairy,115,45,20,20,1,0.25,0.51:5.5,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,Special_Defense,25
40,Wigglytuff,Normal,Fairy,140,70,45,45,1,0.25,0.99:12,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Special_Attack,85
40,,Normal,Fairy,140,70,45,45,1,0.25,0.99:12,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Special_Defense,50
41,Zubat,Poison,Flying,40,45,35,55,1,0.5,0.79:7.5,two_wings,FALSE,NA,NA,NA,NA,NA,NA,255,NA,NA,NA,Special_Attack,30
41,,Poison,Flying,40,45,35,55,1,0.5,0.79:7.5,two_wings,FALSE,NA,NA,NA,NA,NA,NA,255,NA,NA,NA,Special_Defense,40
42,Golbat,Poison,Flying,75,80,70,90,1,0.5,1.6:55,two_wings,FALSE,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,Special_Attack,65
42,,Poison,Flying,75,80,70,90,1,0.5,1.6:55,two_wings,FALSE,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,Special_Defense,75
43,Oddish,Grass,Poison,45,50,55,30,1,0.5,0.51:5.4,head_legs,FALSE,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,75
43,,Grass,Poison,45,50,55,30,1,0.5,0.51:5.4,head_legs,FALSE,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,65
44,Gloom,Grass,Poison,60,65,70,40,1,0.5,0.79:8.6,bipedal_tailless,FALSE,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,85
44,,Grass,Poison,60,65,70,40,1,0.5,0.79:8.6,bipedal_tailless,FALSE,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,75
45,Vileplume,Grass,Poison,75,80,85,50,1,0.5,1.19:18.6,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Attack,110
45,,Grass,Poison,75,80,85,50,1,0.5,1.19:18.6,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Defense,90
46,Paras,Bug,Grass,35,70,55,25,1,0.5,0.3:5.4,insectoid,FALSE,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,Special_Attack,45
46,,Bug,Grass,35,70,55,25,1,0.5,0.3:5.4,insectoid,FALSE,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,Special_Defense,55
47,Parasect,Bug,Grass,60,95,80,30,1,0.5,0.99:29.5,insectoid,FALSE,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,Special_Attack,60
47,,Bug,Grass,60,95,80,30,1,0.5,0.99:29.5,insectoid,FALSE,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,Special_Defense,80
48,Venonat,Bug,Poison,60,55,50,45,1,0.5,0.99:30,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,Special_Attack,40
48,,Bug,Poison,60,55,50,45,1,0.5,0.99:30,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,Special_Defense,55
49,Venomoth,Bug,Poison,70,65,60,90,1,0.5,1.5:12.5,four_wings,FALSE,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,Special_Attack,90
49,,Bug,Poison,70,65,60,90,1,0.5,1.5:12.5,four_wings,FALSE,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,Special_Defense,75
50,Diglett,Ground,NA,10,55,25,95,1,0.5,0.2:0.8,head_base,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Attack,35
50,,Ground,NA,10,55,25,95,1,0.5,0.2:0.8,head_base,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Defense,45
51,Dugtrio,Ground,NA,35,80,50,120,1,0.5,0.71:33.3,multiple_bodies,FALSE,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,Special_Attack,50
51,,Ground,NA,35,80,50,120,1,0.5,0.71:33.3,multiple_bodies,FALSE,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,Special_Defense,70
52,Meowth,Normal,NA,40,45,35,90,1,0.5,0.41:4.2,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,Special_Attack,40
52,,Normal,NA,40,45,35,90,1,0.5,0.41:4.2,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,Special_Defense,40
53,Persian,Normal,NA,65,70,60,115,1,0.5,0.99:32,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,Special_Attack,65
53,,Normal,NA,65,70,60,115,1,0.5,0.99:32,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,Special_Defense,65
54,Psyduck,Water,NA,50,52,48,55,1,0.5,0.79:19.6,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,Special_Attack,65
54,,Water,NA,50,52,48,55,1,0.5,0.79:19.6,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,Special_Defense,50
55,Golduck,Water,NA,80,82,78,85,1,0.5,1.7:76.6,bipedal_tailed,FALSE,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,95
55,,Water,NA,80,82,78,85,1,0.5,1.7:76.6,bipedal_tailed,FALSE,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,80
56,Mankey,Fighting,NA,40,80,35,70,1,0.5,0.51:28,bipedal_tailed,FALSE,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,Special_Attack,35
56,,Fighting,NA,40,80,35,70,1,0.5,0.51:28,bipedal_tailed,FALSE,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,Special_Defense,45
57,Primeape,Fighting,NA,65,105,60,95,1,0.5,0.99:32,bipedal_tailed,FALSE,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,Special_Attack,60
57,,Fighting,NA,65,105,60,95,1,0.5,0.99:32,bipedal_tailed,FALSE,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,Special_Defense,70
58,Growlithe,Fire,NA,55,70,45,60,1,0.75,0.71:19,quadruped,FALSE,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,Special_Attack,70
58,,Fire,NA,55,70,45,60,1,0.75,0.71:19,quadruped,FALSE,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,Special_Defense,50
59,Arcanine,Fire,NA,90,110,80,95,1,0.75,1.91:155,quadruped,FALSE,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,Special_Attack,100
59,,Fire,NA,90,110,80,95,1,0.75,1.91:155,quadruped,FALSE,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,Special_Defense,80
60,Poliwag,Water,NA,40,50,40,90,1,0.5,0.61:12.4,head_legs,FALSE,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,40
60,,Water,NA,40,50,40,90,1,0.5,0.61:12.4,head_legs,FALSE,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,40
61,Poliwhirl,Water,NA,65,65,65,90,1,0.5,0.99:20,bipedal_tailless,FALSE,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,50
61,,Water,NA,65,65,65,90,1,0.5,0.99:20,bipedal_tailless,FALSE,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,50
62,Poliwrath,Water,Fighting,90,95,95,70,1,0.5,1.3:54,bipedal_tailless,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,70
62,,Water,Fighting,90,95,95,70,1,0.5,1.3:54,bipedal_tailless,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,90
63,Abra,Psychic,NA,25,20,15,90,1,0.75,0.89:19.5,bipedal_tailed,FALSE,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,Special_Attack,105
63,,Psychic,NA,25,20,15,90,1,0.75,0.89:19.5,bipedal_tailed,FALSE,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,Special_Defense,55
64,Kadabra,Psychic,NA,40,35,30,105,1,0.75,1.3:56.5,bipedal_tailed,FALSE,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,Special_Attack,120
64,,Psychic,NA,40,35,30,105,1,0.75,1.3:56.5,bipedal_tailed,FALSE,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,Special_Defense,70
65,Alakazam,Psychic,NA,55,50,45,120,1,0.75,1.5:48,bipedal_tailless,FALSE,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,Special_Attack,135
65,,Psychic,NA,55,50,45,120,1,0.75,1.5:48,bipedal_tailless,FALSE,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,Special_Defense,95
66,Machop,Fighting,NA,70,80,50,35,1,0.75,0.79:19.5,bipedal_tailed,FALSE,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,Special_Attack,35
66,,Fighting,NA,70,80,50,35,1,0.75,0.79:19.5,bipedal_tailed,FALSE,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,Special_Defense,35
67,Machoke,Fighting,NA,80,100,70,45,1,0.75,1.5:70.5,bipedal_tailless,FALSE,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,Special_Attack,50
67,,Fighting,NA,80,100,70,45,1,0.75,1.5:70.5,bipedal_tailless,FALSE,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,Special_Defense,60
68,Machamp,Fighting,NA,90,130,80,55,1,0.75,1.6:130,bipedal_tailless,FALSE,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,Special_Attack,65
68,,Fighting,NA,90,130,80,55,1,0.75,1.6:130,bipedal_tailless,FALSE,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,Special_Defense,85
69,Bellsprout,Grass,Poison,50,75,35,40,1,0.5,0.71:4,bipedal_tailless,FALSE,NA,NA,NA,255,NA,NA,NA,NA,NA,NA,Special_Attack,70
69,,Grass,Poison,50,75,35,40,1,0.5,0.71:4,bipedal_tailless,FALSE,NA,NA,NA,255,NA,NA,NA,NA,NA,NA,Special_Defense,30
70,Weepinbell,Grass,Poison,65,90,50,55,1,0.5,0.99:6.4,head_base,FALSE,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,Special_Attack,85
70,,Grass,Poison,65,90,50,55,1,0.5,0.99:6.4,head_base,FALSE,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,Special_Defense,45
71,Victreebel,Grass,Poison,80,105,65,70,1,0.5,1.7:15.5,head_base,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Attack,100
71,,Grass,Poison,80,105,65,70,1,0.5,1.7:15.5,head_base,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Defense,70
72,Tentacool,Water,Poison,40,40,35,70,1,0.5,0.89:45.5,several_limbs,FALSE,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,50
72,,Water,Poison,40,40,35,70,1,0.5,0.89:45.5,several_limbs,FALSE,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,100
73,Tentacruel,Water,Poison,80,70,65,100,1,0.5,1.6:55,several_limbs,FALSE,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,80
73,,Water,Poison,80,70,65,100,1,0.5,1.6:55,several_limbs,FALSE,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,120
74,Geodude,Rock,Ground,40,80,100,20,1,0.5,0.41:20,head_arms,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Attack,30
74,,Rock,Ground,40,80,100,20,1,0.5,0.41:20,head_arms,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Defense,30
75,Graveler,Rock,Ground,55,95,115,35,1,0.5,0.99:105,bipedal_tailless,FALSE,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,Special_Attack,45
75,,Rock,Ground,55,95,115,35,1,0.5,0.99:105,bipedal_tailless,FALSE,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,Special_Defense,45
76,Golem,Rock,Ground,80,120,130,45,1,0.5,1.4:300,bipedal_tailless,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Attack,55
76,,Rock,Ground,80,120,130,45,1,0.5,1.4:300,bipedal_tailless,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Defense,65
77,Ponyta,Fire,NA,50,85,55,90,1,0.5,0.99:30,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,Special_Attack,65
77,,Fire,NA,50,85,55,90,1,0.5,0.99:30,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,Special_Defense,65
78,Rapidash,Fire,NA,65,100,70,105,1,0.5,1.7:95,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,Special_Attack,80
78,,Fire,NA,65,100,70,105,1,0.5,1.7:95,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,Special_Defense,80
79,Slowpoke,Water,Psychic,90,65,65,15,1,0.5,1.19:36,quadruped,FALSE,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,Special_Attack,40
79,,Water,Psychic,90,65,65,15,1,0.5,1.19:36,quadruped,FALSE,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,Special_Defense,40
80,Slowbro,Water,Psychic,95,75,110,30,1,0.5,1.6:78.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,Special_Attack,100
80,,Water,Psychic,95,75,110,30,1,0.5,1.6:78.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,Special_Defense,80
81,Magnemite,Electric,Steel,25,35,70,45,1,NA,0.3:6,head_arms,FALSE,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,Special_Attack,95
81,,Electric,Steel,25,35,70,45,1,NA,0.3:6,head_arms,FALSE,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,Special_Defense,55
82,Magneton,Electric,Steel,50,60,95,70,1,NA,0.99:60,multiple_bodies,FALSE,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,Special_Attack,120
82,,Electric,Steel,50,60,95,70,1,NA,0.99:60,multiple_bodies,FALSE,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,Special_Defense,70
