Animal.Number,Dose.Group,A_43_P14555,A_43_P22290,A_43_P20792,A_43_P21286,A_43_P12995,A_43_P15834,A_43_P12356,A_42_P564516,A_43_P22018,A_43_P21075
405,1500,-0.04633,-0.005,0.00763,-0.01438,0.02061,-0.00655,-0.04438,0.05267,0.0666,-0.00959
406,1500,-0.0577,-0.15163,-0.02347,-0.0635,-0.05113,-0.08222,0.00735,-0.01351,-0.05235,-0.01574
407,1500,-0.10384,8.80E-04,0.04745,0.00525,-0.03333,-0.05891,0.08868,0.12982,0.17775,0.06686
411,1500,-0.05615,-0.03158,-0.02299,-0.02689,0.00934,0.01904,-0.00257,0.11735,0.23898,0.00231
412,1500,-0.27847,0.00191,-0.00296,-0.01098,-0.02777,-0.04198,-0.08324,-0.04063,0.03891,-0.08132
413,1500,0.05484,0.01521,-0.02808,-0.0104,-0.04018,-0.05113,0.02468,-0.00337,0.05064,-0.03862
414,1500,0.02698,0.01279,0.02812,0.01467,-0.00833,-0.03343,0.05137,0.01646,0.08118,0.04571
416,1500,-0.04999,-0.01176,0.02156,0.00101,-0.05003,-0.03642,-0.18903,-0.05148,0.09198,-0.00411
419,1500,-0.0574,-0.04467,-0.00849,0.00446,-0.0249,-0.05909,0.04563,0.13972,0.27578,0.02517
420,1500,-0.10876,-0.04271,-0.07905,-0.10413,-0.08039,-0.14787,0.01452,-0.00801,-0.19264,-0.05148
421,1500,-0.08423,-0.15389,-0.0454,-0.07456,-0.05283,-0.04433,0.19548,0.03413,0.05871,0.02427
423,1500,-0.0189,-0.0431,-0.02115,0.01433,-0.01408,-0.09118,0.01793,0.04652,0.0519,0.01762
424,1500,-0.06662,-0.1166,0.00609,-0.02503,0.02899,-0.04049,-0.02139,0.02138,0.05732,-0.05113
501,2000,-0.04861,-0.07877,-0.00662,-0.1245,0.07174,-0.04297,-0.0333,0.02318,-0.20335,-0.03653
503,2000,-0.08177,0.08529,0.0351,0.08759,0.06802,0.03688,0.01979,-0.00422,0.05094,0.09856
505,2000,-0.0269,-0.05522,-0.01283,0.05909,-0.09473,-0.09246,-0.07898,-0.04156,-0.06902,-0.00293
506,2000,-0.11566,-0.03267,-0.00337,-0.01898,-0.23783,-0.10482,-0.00915,-0.05006,-0.34582,-0.06574
508,2000,-0.0653,0.02072,0.02059,-0.0379,-0.09858,-0.05444,0.05117,0.04984,-0.04918,-0.0265
509,2000,-0.12128,0.03296,0.00457,-0.11009,-0.11734,-0.10979,0.09656,0.06445,0.35258,-0.01591
510,2000,-0.09127,-0.11885,-0.02729,0.02555,-0.14945,8.50E-04,-0.0612,0.01288,0.00235,-0.06882
512,2000,-0.15846,-0.12823,-0.01915,-0.06016,-0.16637,-0.02166,-0.15395,-0.11604,-0.28462,-0.04752
513,2000,-0.08759,-0.02257,0.02673,-0.01918,0.02463,0.04345,-0.06038,-0.02214,-0.01347,-0.03553
514,2000,0.07446,0.18938,0.00205,0.02565,-0.03867,0.05028,0.07581,-0.02285,0.08641,0.06429
516,2000,-0.17789,-0.13262,-0.06051,0.10085,-0.12893,-0.08275,-0.06512,0.11978,-0.0713,0.03706
518,2000,-0.01012,0.06195,0.00582,-0.00409,0.03286,0.08214,-0.01309,0.07736,0.22619,0.03496
520,2000,0.01057,-0.03958,0.02299,9.00E-05,-0.00353,0.01296,0.0898,0.06674,0.13432,0.05288
521,2000,0.02216,0.09487,0.07719,0.47219,0.12406,0.09568,0.22085,0.02198,0.3903,0.02883
522,2000,-0.08288,-0.05658,0.02615,-0.05894,-0.029,0.01615,-0.01367,-0.05139,-0.03404,-0.01179
524,2000,-0.14238,-0.08637,-0.09984,-0.04465,-0.09704,0.03391,0.0312,-0.01404,-0.06248,-0.03609
