Animal.Number,Treatment.Group,Dose.Group,A_43_P14555,A_43_P22290,A_43_P20792,A_43_P21286,A_43_P12995,A_43_P15834,A_43_P12356,A_42_P564516,A_43_P22018,A_43_P21075,A_43_P23125,A_43_P17653,A_43_P18129,A_43_P16337,A_43_P22160,A_43_P23348,A_43_P22354,A_43_P16280,A_43_P13097,A_42_P673861,A_42_P587156,A_43_P21732,A_43_P20580,A_43_P12101,A_43_P18264,A_43_P17356,A_43_P18207,A_43_P13289,A_42_P687001,A_43_P15774,A_43_P16520,A_43_P21890,A_43_P19977,A_43_P19997,A_43_P19419,A_43_P16531,A_42_P649672,A_43_P18498,A_42_P612939,A_43_P15812,A_43_P13453,A_42_P516561,A_43_P18065,A_43_P20491,A_43_P10565,A_43_P19861,A_43_P10084,A_42_P674812,A_43_P12454
214,50 MG/KG6 HR,50,0.12915,0.0241,-0.01961,-0.02251,0.06262,0.03072,0.06279,0.05933,0.34651,0.043,0.05097,-0.0012,0.07259,0.15433,0.06146,0.23657,0.05472,-0.03624,-0.04086,0.14779,0.23407,0.27215,0.04087,0.04544,0.01461,0.05834,-0.02475,-0.01519,-0.02919,0.0263,-0.00923,-0.01627,-0.01559,0.09658,-0.03013,0.03402,0.02281,0.03453,0.02217,0.03408,-0.0101,0.00676,0.02344,-0.02226,0.01048,-0.0469,-0.04362,0.03115,0.01745
216,50 MG/KG18 HR,50,0.18482,-0.01875,0.01342,0.01264,0.01704,-0.03688,0.04411,-0.00466,0.05166,0.07551,0.04836,0.003,0.01373,0.10414,0.03384,0.06286,0.07876,-0.03232,0.00216,0.03761,0.02052,0.08087,0.01371,0.02579,-0.02222,0.00224,-0.03492,-0.02884,-6.20E-04,6.40E-04,-0.01261,-0.00928,-0.03009,0.01024,-0.00738,0.01566,-0.01458,-0.03109,0.00191,-0.00847,-0.03018,-0.00648,-0.02464,-0.00376,-0.02121,-0.0192,-0.02336,-0.00856,-0.02445
217,50 MG/KG18 HR,50,0.17995,0.22116,0.03402,-0.02138,-0.04191,-0.00846,0.09968,0.09689,-0.10649,0.04738,0.08362,0.04818,0.16899,-0.08326,0.13637,-0.06189,0.14643,3.00E-05,-0.02419,-0.00397,-0.0621,0.03187,-0.04302,-0.03081,-0.07895,-0.01328,0.04562,0.03415,0.00673,-0.03016,-0.08417,-6.50E-04,0.04512,-0.11129,-0.0287,-0.00875,-0.01566,9.70E-04,0.01274,-0.07905,0.05493,0.00331,-0.06031,-0.06749,0.01368,-0.27067,0.01294,0.07642,0.0425
220,50 MG/KG24 HR,50,0.05132,0.07429,0.02042,0.0515,0.02488,0.00637,-0.05135,-0.06526,0.07916,0.06148,0.08129,0.04941,0.03506,0.09648,0.10882,0.02931,-0.03807,-0.18666,0.0504,0.13714,0.18711,0.04173,0.07908,0.02188,0.09677,0.08557,0.08657,0.05255,0.08703,0.16582,0.07076,0.06794,0.08303,0.1418,0.06165,0.07672,0.07133,0.06902,0.06463,0.06308,0.06034,0.04163,0.06349,0.05516,0.04828,0.02761,0.05469,0.08735,6.40E-04
221,50 MG/KG24 HR,50,0.09041,0.23501,0.11132,0.11849,0.06276,0.12155,0.09581,0.15026,0.15065,0.05129,0.09861,0.07555,0.07066,0.20923,0.20453,0.14942,0.1847,0.09898,0.03435,0.28357,-0.1051,0.06716,0.04936,0.08013,0.11329,0.06778,0.04999,0.05072,0.06525,0.00184,0.10553,0.02252,0.13096,0.13192,0.0839,0.02073,0.02223,0.30945,0.09242,0.06296,0.06663,0.08269,0.07392,0.05357,0.12754,0.318,0.03764,0.12416,0.02995
223,50 MG/KG48 HR,50,-0.02421,-0.02676,0.00495,-0.03391,0.02336,-0.0541,0.01139,0.07902,0.12148,0.00812,0.03021,-5.30E-04,6.70E-04,0.04695,0.03526,0.12809,0.06119,0.04971,0.05392,0.01937,0.15946,0.13776,0.00214,0.02085,0.01016,0.06995,0.01229,-0.0025,-0.00425,0.00624,-0.03946,-0.0187,-0.00434,-0.02909,-0.03913,-0.00552,-0.00346,-0.00254,0.00373,0.0043,0.00405,0.01338,0.00901,-0.01226,0.07368,0.00223,0.00108,-0.00683,0.01023
302,150MG/KG6 HR,150,-0.00667,-0.00602,-0.02784,-0.02184,0.0024,-0.0299,0.08722,0.05877,0.15606,0.04048,0.03602,0.05903,0.05614,-0.17113,0.02614,-0.02721,-0.01868,-0.0275,-0.08537,-0.02236,-0.07675,-0.08144,0.08083,0.16337,0.0394,0.08614,0.06752,0.05889,0.04562,0.11702,0.04953,0.04539,0.08786,0.19757,0.06865,0.08962,0.05359,0.16888,0.04603,0.13072,0.06358,0.06279,0.04736,0.04352,0.01346,0.08113,0.049,0.06164,0.03793
303,150MG/KG6 HR,150,0.05301,0.0115,-0.00709,-0.02027,-0.15403,0.04241,0.05196,0.04517,0.17269,0.0159,0.00745,0.01309,0.04637,0.11904,0.03067,0.01586,0.03636,0.01881,-0.08727,-0.05443,-0.01111,0.02741,0.03433,0.02884,0.02894,0.06222,0.06342,0.05166,0.05456,0.08843,-0.1505,-0.03632,0.06212,-0.17664,0.0799,0.01131,0.02302,0.08404,0.03974,0.0672,0.05293,0.0467,-0.00823,-0.01146,0.07186,0.10647,0.04845,0.06726,-0.00702
306,150MG/KG18 HR,150,-0.11884,-0.08423,-0.07097,-0.06524,-0.08959,-0.07898,-0.12067,-0.10607,-0.31992,0.0022,-0.07664,-0.07634,-0.0789,-0.34929,-0.14369,-0.08841,-0.14712,-0.05334,-0.05852,-0.25038,-0.20361,-0.15971,-0.06753,-0.05599,-0.04273,-0.01088,-0.12342,-0.02737,-0.05767,-0.12107,-0.10064,-0.02977,-0.05408,-0.26789,-0.05751,-0.01712,-0.01693,-0.0339,-0.01982,-0.01372,-0.06367,-0.04262,-0.04336,-0.02444,-0.12057,-0.18402,-0.0168,-0.02951,-0.03702
307,150MG/KG24 HR,150,-0.10722,-0.02306,-0.01006,-0.02346,-0.02921,-0.02928,-0.07311,-0.05108,-0.17538,0.00167,-0.08384,-0.02606,-0.05238,0.11393,-0.00986,0.00659,-0.24028,-0.0949,-0.1267,-0.03042,-0.05685,-0.01872,-0.02144,0.02235,0.02357,0.01071,-0.00877,0.01976,-0.00122,-0.03022,0.03253,0.01704,0.03907,0.00785,0.00947,0.02142,0.01004,-0.00104,0.05302,0.02314,-0.02493,-0.02419,0.01543,-0.0196,0.02304,0.02423,0.08531,0.02434,-0.02438
308,150MG/KG24 HR,150,-0.17899,-0.00232,-0.0499,0.1118,-0.0896,-0.07998,-0.14413,-0.10324,-0.11689,-0.03935,-0.13587,-0.03502,0.04082,-0.32925,-0.15852,-0.00639,-0.10253,-0.04614,-0.19403,-0.22264,-0.26153,-0.25363,-0.10802,-0.08744,-0.06708,-0.04849,-0.02012,-0.05579,-0.03122,-0.17034,-0.03428,-0.00753,-0.07416,0.02985,-0.02723,-0.01867,-7.50E-04,-0.02057,-0.02208,-0.00955,-0.04339,0.0114,-0.04572,-0.10822,-0.16425,-0.15405,-0.01088,-0.00231,0.00915
310,150MG/KG48 HR,150,-0.0938,-0.05406,-0.04063,-0.03509,-0.04672,-0.06678,-0.08265,-0.0524,-0.08529,-0.03358,-0.08705,-0.03847,0.00483,0.01741,-0.06406,0.00574,-0.0902,-0.05124,-0.07638,-0.11576,-0.06961,-0.11079,-0.04709,-0.04546,-0.02711,-0.0555,0.04739,-0.04121,-0.03684,-0.0657,0.0302,-0.01595,-0.0326,-0.09716,-0.05229,-0.01006,-0.01728,-0.037,-0.02223,0.00328,-0.07867,-0.05567,0.00181,-0.04491,-0.08044,-0.04714,0.03797,-0.01762,-0.01299
311,150MG/KG48 HR,150,-0.08513,-0.02702,-0.03109,-0.05864,-0.0407,-0.04699,-0.02178,-0.03821,-0.07735,0.04068,-0.0037,0.0343,0.01936,-0.03064,0.0552,0.00972,-0.051,-0.03403,-0.08185,-0.01073,-0.12943,-0.13328,0.00477,0.0061,-0.02211,-0.00804,-0.0067,-0.0126,-0.0037,-0.02714,-0.01494,-0.00496,-0.03078,0.07058,0.04446,0.01821,0.01126,-0.0197,-0.0152,0.04002,-0.04156,0.04667,0.01347,-0.0254,0.00617,-0.03502,0.03165,0.00681,0.017
312,150MG/KG48 HR,150,-0.09287,-0.07833,-0.03547,-0.00475,-0.17926,-0.11634,0.01159,-0.0635,-0.0631,-0.01712,-0.01523,-0.03782,0.00185,-0.13608,0.01314,-0.10912,0.04478,0.03705,-0.03831,0.14784,0.23121,0.07578,0.00913,0.02627,-0.02988,0.00454,-0.03549,-0.00647,-0.00213,-0.0619,-0.13484,-0.03454,-0.03645,0.06046,-0.04982,-0.0374,0.07646,-0.03326,-0.01994,1.80E-04,-0.0747,-0.01109,-0.04204,-0.02339,-0.02219,-0.06206,-0.00125,-0.002,0.05053
314,150MG/KG6 HR,150,0.00831,-0.05972,-0.03581,-0.05684,-0.04268,-0.03273,0.01196,0.03053,0.14567,0.02203,0.00107,0.02693,0.00485,0.00949,-0.00708,0.017,0.02577,0.00478,-0.03965,-0.08268,-0.02311,-0.01257,0.05253,0.00749,0.01778,0.0302,0.01535,0.00225,0.01024,0.06308,0.02446,0.01374,0.02234,0.0186,0.05707,0.03469,0.02994,0.04906,0.02185,0.07793,0.03703,0.00893,0.03056,-0.00635,0.0571,0.02451,0.04137,0.05222,0.01638
315,150MG/KG6 HR,150,-0.024,0.09681,0.02773,0.05287,-0.01921,0.02877,0.01798,0.0657,0.10312,0.0558,0.02284,0.04195,0.06201,0.1668,0.09822,0.19703,-0.00362,0.01527,0.03136,0.16735,-0.13687,0.08625,0.0584,0.0512,0.04084,0.08968,0.05557,0.05963,0.04331,0.10719,0.02446,0.0561,0.07249,0.16382,0.05981,0.0388,0.03669,0.05018,0.05679,0.06189,0.06496,0.06694,0.07408,7.70E-04,0.08456,0.04384,0.02313,0.05185,0.02636
316,150MG/KG18 HR,150,-0.03877,0.19406,-0.01684,0.20353,-0.02938,0.22385,0.01022,0.03126,0.0826,0.0234,0.03023,-0.00625,0.06947,0.0198,0.26586,0.07631,-0.01243,0.02364,0.03148,-0.00988,0.03547,-0.01906,0.02368,-0.03104,0.02634,-0.00477,0.01737,0.01612,5.10E-04,0.02474,-0.01125,0.02259,0.01303,-0.02424,0.02587,-0.00438,-0.01161,0.00891,0.01736,0.00206,0.00424,-0.02124,0.00618,0.00179,0.00426,-0.01256,-0.0037,0.02564,0.00468
317,150MG/KG18 HR,150,-0.04195,-0.06038,-0.04114,0.01705,0.00411,0.0497,0.06283,-0.03883,0.103,0.01151,-0.05857,-0.03135,-0.02472,0.11472,-0.01203,-0.02264,0.05304,0.00674,0.02868,-0.04353,0.10223,0.05946,-5.80E-04,-0.04643,-0.06505,-0.01722,-0.03206,-0.02184,-0.03478,-0.08446,-0.02079,-0.00178,-0.07776,0.01087,-0.05943,-0.01927,-0.04378,-0.05386,-0.01037,-0.04344,-0.02097,-0.03197,-0.00631,-0.02144,-0.04363,-0.05301,-0.0079,-0.05625,0.00798
318,150MG/KG18 HR,150,-0.12377,-0.11663,-0.05266,-0.06998,-0.07578,-0.10001,-0.10102,-0.0307,-0.14515,-0.04303,0.06888,-0.00646,-0.05003,-0.38568,-0.21822,-0.19485,-0.04923,-0.02502,-0.04142,-0.10966,-0.07457,-0.19694,-0.00691,-0.02749,-0.02744,-0.01006,0.00305,-0.02183,-0.00795,0.06057,-0.02298,-0.00795,-0.07415,-0.05793,-0.01248,0.01753,-0.00976,-0.01162,3.20E-04,-0.02036,-0.04087,-1.20E-04,0.00502,0.02306,-0.01079,-0.00363,-0.01509,-0.0559,0.00994
319,150MG/KG24 HR,150,-0.14084,0.00453,0.04322,0.01274,0.01409,0.03497,0.07562,0.03305,0.0342,0.0682,0.07701,0.00501,0.12206,0.04752,-0.06154,0.01208,-0.01612,0.07729,-0.0151,-0.13547,-0.184,0.06946,0.02159,0.10372,0.03887,0.01983,0.07719,0.09687,0.0385,0.09801,0.11167,0.09527,0.09258,0.22571,0.06692,0.03118,0.11285,0.06233,0.06509,0.07558,0.09168,0.03473,0.07671,0.04474,-0.02193,-0.00424,0.05539,0.02862,0.03345
320,150MG/KG24 HR,150,0.10013,-0.01522,-0.02429,-0.04476,0.02245,-0.03298,0.05579,0.06758,0.28165,0.08562,0.09342,0.08807,0.0846,0.13733,0.02197,0.07904,0.09668,0.06602,0.01482,0.28863,0.24133,0.18081,0.10611,0.13108,0.09477,0.06463,0.08133,0.07139,0.0874,0.10964,0.10189,0.03238,0.07293,0.23346,0.12506,0.08414,0.05135,0.04921,0.06618,0.07146,0.10175,0.03747,0.09027,0.0718,0.09883,0.13329,0.04989,0.0363,0.0577
324,150MG/KG48 HR,150,-0.27523,0.04531,-0.00938,0.04528,-0.12164,0.00541,-0.18976,-0.09401,-0.053,-0.135,-0.00623,-0.02364,0.00233,-0.08879,-0.02766,-0.16535,-0.15508,-0.22791,-0.12533,-0.1423,0.09116,-0.14082,-0.03922,0.0067,-0.06824,-0.06297,-0.02758,-0.00174,0.03975,-0.4612,-0.06673,0.00376,-0.09013,0.02255,-0.00495,-0.01285,0.03426,-0.00152,0.0316,0.02185,-0.07744,-0.00859,-0.01556,-0.02882,0.00361,-0.17864,-0.01337,0.00325,-0.01896
402,1500MG/K6 HR,1500,0.02083,0.14432,0.06208,0.03673,0.03614,0.02332,0.10387,0.13281,0.26445,0.09435,0.08988,0.11925,0.00564,0.46202,0.15679,0.1294,0.10483,0.00894,0.11859,0.08465,0.01289,-0.04174,0.07335,0.04377,0.01443,0.01399,-0.05546,0.00143,-0.12335,-0.01622,-0.03927,0.02424,-0.02843,0.06972,-0.00571,0.03454,0.00661,-0.08115,-0.02063,-0.0442,-0.00279,-0.00411,-0.0118,0.00407,-0.10208,0.12513,0.00659,0.08106,0.02385
403,1500MG/K6 HR,1500,-0.36931,-0.14577,-0.20103,-0.1067,-0.00935,0.05241,-0.19712,-0.31019,-0.48427,-0.09884,-0.10575,-0.06984,-0.20889,-0.442,-0.32929,-0.23834,0.08483,-0.16779,-0.13284,-0.25987,-0.51473,-0.25818,0.07137,0.0531,-0.04516,-0.01122,-0.00782,0.01566,0.02083,0.07578,0.14337,0.03754,0.12582,0.24825,0.08855,0.03831,-0.0203,0.03212,0.01358,-0.00236,0.06598,0.05127,0.08766,0.00223,-0.08745,0.1377,-0.00781,0.0093,-0.06091
404,1500MG/K18 HR,1500,-0.05182,-0.11551,-0.06918,-0.05801,-0.07867,-0.08253,0.01032,-0.00375,-0.04649,-0.01009,-0.13745,-0.12964,-0.06112,-0.13823,-0.0139,-0.03389,-0.02745,-0.11442,-0.07114,0.14976,0.10758,0.05744,-0.11587,-0.02145,-0.02627,-0.0515,-0.0139,-0.02468,0.02422,-0.03965,-0.08198,-0.03851,-0.1106,-0.14286,-0.03925,-0.10887,-0.07494,-0.06094,-0.10651,-0.08008,-0.0734,-0.02145,-0.04826,0.00168,0.06908,-0.11207,0.02867,0.05845,-0.05857
405,1500MG/K18 HR,1500,-0.04633,-0.005,0.00763,-0.01438,0.02061,-0.00655,-0.04438,0.05267,0.0666,-0.00959,0.00285,-0.0344,-0.10028,0.0641,0.0507,0.02024,0.05793,0.07306,0.09339,0.137,0.2966,0.06088,-0.02986,-0.05408,-0.03584,-0.03218,-0.04884,-0.00128,-0.00377,-0.02077,-0.05024,-0.04935,-0.04314,-0.14507,-0.01655,-0.00154,-0.05015,-0.04167,-0.02875,-0.04437,-0.00433,-0.05955,-0.0288,0.00611,0.13104,-3.50E-04,-0.01039,0.04611,-0.03124
406,1500MG/K18 HR,1500,-0.0577,-0.15163,-0.02347,-0.0635,-0.05113,-0.08222,0.00735,-0.01351,-0.05235,-0.01574,-0.0138,-0.02078,-0.01071,-0.06944,-0.0058,-0.00786,-0.02363,-0.00791,-0.05561,-0.02101,-0.04881,-0.13035,0.00732,-0.00354,-0.03131,-0.01025,-0.07365,-0.02031,-0.01215,-0.04212,-0.06453,0.00173,-0.06168,-0.02634,-0.03748,-0.04582,-0.04743,-0.08656,-0.04494,-0.02568,-0.03607,0.0123,-0.00629,-0.0121,-0.14953,-0.06622,-0.04674,-0.00522,-0.02992
407,1500MG/K24 HR,1500,-0.10384,8.80E-04,0.04745,0.00525,-0.03333,-0.05891,0.08868,0.12982,0.17775,0.06686,0.04536,0.06645,0.11534,0.04466,0.00946,0.11168,-0.05029,0.05585,0.02866,0.13599,-0.34027,0.08907,0.11981,0.008,0.03364,0.00605,0.10245,0.05621,0.01388,-0.03782,0.1008,0.05701,0.06533,0.09006,0.10332,0.00352,-0.01154,0.01417,-0.02011,0.02813,0.02983,0.0185,0.01797,-0.03487,-0.01121,0.00276,0.04074,0.05975,0.00688
411,1500MG/K48 HR,1500,-0.05615,-0.03158,-0.02299,-0.02689,0.00934,0.01904,-0.00257,0.11735,0.23898,0.00231,0.03898,0.073,0.03961,-0.00373,0.03885,-0.00696,0.05013,0.04539,0.01219,0.15613,0.26767,0.14033,0.04008,0.11235,0.06006,0.06018,0.04289,0.04976,0.06028,0.10588,0.09322,0.0405,0.09983,0.10903,0.06103,0.01909,-5.40E-04,0.04811,0.04136,0.04567,0.0673,0.07362,0.04502,0.03843,0.13511,0.11948,0.0149,0.03812,0.03602
412,1500MG/K48 HR,1500,-0.27847,0.00191,-0.00296,-0.01098,-0.02777,-0.04198,-0.08324,-0.04063,0.03891,-0.08132,-0.07301,-0.15909,-0.04375,0.11108,-0.02391,0.18651,-0.02774,-0.00797,-0.05869,-0.00311,-0.06807,0.34537,-0.06222,-0.10009,-0.01824,0.12521,-0.11679,-0.04293,0.01271,0.00684,0.1062,0.04958,0.1163,-0.08259,-0.00129,-0.09614,-0.04228,0.01554,0.01255,-0.0368,-0.00963,0.00329,-0.01023,-0.10164,-0.00569,0.16157,-0.01963,0.0714,0.02134
413,1500MG/K6 HR,1500,0.05484,0.01521,-0.02808,-0.0104,-0.04018,-0.05113,0.02468,-0.00337,0.05064,-0.03862,-0.05126,-0.01883,-0.02718,-0.03332,-0.00703,-0.00623,0.05195,0.00153,-0.08759,0.13169,-0.00669,0.14425,0.04605,0.01764,-0.0171,0.02934,-0.02662,-0.01106,0.01622,0.06841,0.037,0.00211,0.05812,0.05965,0.02395,-0.008,0.03002,0.01024,0.01397,0.04823,-0.01878,-0.02438,4.80E-04,-0.0507,-0.04409,0.12182,0.06795,0.01332,0.02268
414,1500MG/K6 HR,1500,0.02698,0.01279,0.02812,0.01467,-0.00833,-0.03343,0.05137,0.01646,0.08118,0.04571,0.06135,0.06208,0.02831,0.02274,0.04716,0.02709,0.05473,-0.01169,-0.02666,-0.02014,-0.03266,0.0412,0.07639,0.04784,0.0393,0.06033,0.25734,0.06077,0.15625,0.22568,0.03229,0.02192,0.11208,0.07988,0.16322,0.25182,0.11008,0.15615,0.0524,0.08066,0.03988,0.06877,0.30985,0.31199,0.31901,0.08308,0.0688,0.04219,0.19446
416,1500MG/K18 HR,1500,-0.04999,-0.01176,0.02156,0.00101,-0.05003,-0.03642,-0.18903,-0.05148,0.09198,-0.00411,-0.04159,-0.06459,0.03619,0.08308,0.01973,0.00793,-0.03167,-0.00948,-0.02487,0,0,0.07173,0.02975,-0.04097,-0.02884,0.05283,-0.04359,-0.02509,-0.01653,-0.05738,0.04137,-0.04593,-0.0337,-0.26346,-0.0741,0.0029,-0.01735,-0.08385,-0.06892,-0.05736,-0.08431,-0.10286,-0.08388,-0.08325,-0.09559,-0.15057,0.01874,0.03604,0.06376
419,1500MG/K24 HR,1500,-0.0574,-0.04467,-0.00849,0.00446,-0.0249,-0.05909,0.04563,0.13972,0.27578,0.02517,-0.00596,0.00437,0.14771,0.74758,0.07481,0.116,0.07367,0.02037,0.028,0.08569,-0.25054,0.0412,0.13215,0.05087,0.12942,0.18894,0.12076,0.11081,0.07777,0.18612,0.14489,0.03628,0.18279,0.09283,0.1112,0.05434,9.80E-04,0.07821,0.02123,0.03357,0.03148,0.0089,-0.03597,-0.03916,0.1601,0.33512,0.08522,0.12725,0.08399
420,1500MG/K24 HR,1500,-0.10876,-0.04271,-0.07905,-0.10413,-0.08039,-0.14787,0.01452,-0.00801,-0.19264,-0.05148,-0.04729,0.0024,0.0484,-0.11636,-0.01524,-0.1561,-0.0086,-0.06236,-0.07289,-0.12639,-0.15664,-0.26559,-0.02632,0.00626,-0.00459,-0.03744,0.02303,0.04953,0.03422,-0.06732,-0.03308,-0.05113,-0.05948,-0.05775,0.03374,-0.02006,-0.05432,0.04355,0.01195,-8.60E-04,-0.03195,-0.01254,-0.0446,-0.01303,-0.12758,-0.0299,0.04732,0.09546,-0.01595
421,1500MG/K24 HR,1500,-0.08423,-0.15389,-0.0454,-0.07456,-0.05283,-0.04433,0.19548,0.03413,0.05871,0.02427,0.02078,-0.00207,0.07535,0.16578,-0.00179,0.14143,0.20056,0.02449,0.0697,0.04931,0.09372,0.31212,0.05729,0.03129,0.08631,-0.00604,0.02919,0.07494,0.08936,-0.09794,-0.02769,-0.03587,0.05549,-0.13198,-0.02647,-0.00129,-0.00605,0.03856,-0.01959,-0.01639,-0.05411,-0.01221,-0.03857,0.04038,0.05049,0.02906,-0.02185,-8.00E-04,-0.00855
